"sentence_id","token_id","class","before","after"
0,0,"PLAIN","Brillantaisia","Brillantaisia"
0,1,"PLAIN","is","is"
0,2,"PLAIN","a","a"
0,3,"PLAIN","genus","genus"
0,4,"PLAIN","of","of"
0,5,"PLAIN","plant","plant"
0,6,"PLAIN","in","in"
0,7,"PLAIN","family","family"
0,8,"PLAIN","Acanthaceae","Acanthaceae"
0,9,"PUNCT",".","."
1,0,"DATE","2006","two thousand six"
1,1,"LETTERS","IUCN","i u c n"
1,2,"PLAIN","Red","Red"
1,3,"PLAIN","List","List"
1,4,"PLAIN","of","of"
1,5,"PLAIN","Threatened","Threatened"
1,6,"PLAIN","Species","Species"
1,7,"PUNCT",".","."
2,0,"PLAIN","Circa","Circa"
2,1,"PLAIN","Survive","Survive"
2,2,"PLAIN","draw","draw"
2,3,"PLAIN","influences","influences"
2,4,"PLAIN","from","from"
2,5,"PLAIN","soft","soft"
2,6,"PLAIN","rock","rock"
2,7,"PUNCT",",",","
2,8,"PLAIN","post","post"
2,9,"PLAIN","hardcore","hardcore"
2,10,"PUNCT",",",","
2,11,"PLAIN","experimental","experimental"
2,12,"PLAIN","rock","rock"
2,13,"PUNCT",",",","
2,14,"PLAIN","emo","emo"
2,15,"PUNCT",",",","
2,16,"PLAIN","progressive","progressive"
2,17,"PLAIN","rock","rock"
2,18,"PUNCT",",",","
2,19,"PLAIN","art","art"
2,20,"PLAIN","rock","rock"
2,21,"PUNCT",",",","
2,22,"PLAIN","and","and"
2,23,"PLAIN","pop","pop"
2,24,"PLAIN","musicians","musicians"
2,25,"PUNCT",".","."
3,0,"PLAIN","Circa","Circa"
3,1,"PLAIN","Survive","Survive"
3,2,"PLAIN","opened","opened"
3,3,"PLAIN","for","for"
3,4,"PLAIN","My","My"
3,5,"PLAIN","Chemical","Chemical"
3,6,"PLAIN","Romance's","Romance's"
3,7,"DATE","2007","two thousand seven"
3,8,"PLAIN","shows","shows"
3,9,"PLAIN","in","in"
3,10,"PLAIN","Worcester","Worcester"
3,11,"PLAIN","and","and"
3,12,"PLAIN","Australian","Australian"
3,13,"PLAIN","and","and"
3,14,"PLAIN","New","New"
3,15,"PLAIN","Zealand","Zealand"
3,16,"PLAIN","shows","shows"
3,17,"PLAIN","as","as"
3,18,"PLAIN","well","well"
3,19,"PUNCT",".","."
4,0,"PLAIN","It","It"
4,1,"PLAIN","has","has"
4,2,"PLAIN","a","a"
4,3,"PLAIN","greyish","greyish"
4,4,"PLAIN","green","green"
4,5,"PUNCT",",",","
4,6,"PLAIN","densely","densely"
4,7,"PLAIN","hairy","hairy"
4,8,"PLAIN","stem","stem"
4,9,"PLAIN","and","and"
4,10,"PLAIN","alternate","alternate"
4,11,"PUNCT",",",","
4,12,"PLAIN","palmately","palmately"
4,13,"PLAIN","lobed","lobed"
4,14,"PLAIN","leaves","leaves"
4,15,"PUNCT",".","."
5,0,"DATE","2008","two thousand eight"
5,1,"PLAIN","Tour","Tour"
5,2,"PLAIN","with","with"
5,3,"PLAIN","Madina","Madina"
5,4,"PLAIN","Lake","Lake"
5,5,"PUNCT",",",","
5,6,"PLAIN","Coheed","Coheed"
5,7,"PLAIN","and","and"
5,8,"PLAIN","Cambria","Cambria"
5,9,"PLAIN","and","and"
5,10,"PLAIN","Fightstar","Fightstar"
5,11,"PUNCT",".","."
6,0,"PLAIN","Greek","Greek"
6,1,"PLAIN","National","National"
6,2,"PLAIN","Road","Road"
6,3,"CARDINAL","91","ninety one"
6,4,"PUNCT","(","("
6,5,"PLAIN","Athens","Athens"
6,6,"PUNCT","—","—"
6,7,"PLAIN","Sounio","Sounio"
6,8,"PUNCT",")",")"
6,9,"PLAIN","passes","passes"
6,10,"PLAIN","through","through"
6,11,"PLAIN","the","the"
6,12,"PLAIN","town","town"
6,13,"PUNCT",".","."
7,0,"PLAIN","Rocky","Rocky"
7,1,"PLAIN","Mountain","Mountain"
7,2,"PLAIN","News","News"
7,3,"PUNCT",".","."
8,0,"PLAIN","Retrieved","Retrieved"
8,1,"DATE","4 March 2014","the fourth of march twenty fourteen"
8,2,"PUNCT",".","."
9,0,"PLAIN","The","The"
9,1,"PLAIN","Brilliance","Brilliance"
9,2,"LETTERS","BC","b c"
9,3,"CARDINAL","3","three"
9,4,"PLAIN","is","is"
9,5,"PLAIN","a","a"
9,6,"PLAIN","sport","sport"
9,7,"PLAIN","compact","compact"
9,8,"PLAIN","sized","sized"
9,9,"PLAIN","coupé","coupé"
9,10,"PLAIN","produced","produced"
9,11,"PLAIN","by","by"
9,12,"PLAIN","the","the"
9,13,"PLAIN","Brilliance","Brilliance"
9,14,"PLAIN","Auto","Auto"
9,15,"PLAIN","in","in"
9,16,"PLAIN","the","the"
9,17,"PLAIN","People's","People's"
9,18,"PLAIN","Republic","Republic"
9,19,"PLAIN","of","of"
9,20,"PLAIN","China","China"
9,21,"PUNCT",".","."
10,0,"PLAIN","University","University"
10,1,"PLAIN","of","of"
10,2,"PLAIN","California","California"
10,3,"PLAIN","publications","publications"
10,4,"PLAIN","in","in"
10,5,"PLAIN","linguistics","linguistics"
10,6,"PUNCT","(","("
10,7,"PLAIN","vol","volume"
10,8,"CARDINAL","35","thirty five"
10,9,"PUNCT",")",")"
10,10,"PUNCT",".","."
11,0,"PLAIN","Retrieved","Retrieved"
11,1,"DATE","April 10, 2013","april tenth twenty thirteen"
11,2,"PUNCT",".","."
12,0,"PLAIN","Downloaded","Downloaded"
12,1,"PLAIN","on","on"
12,2,"DATE","7 August 2007","the seventh of august two thousand seven"
12,3,"PUNCT",".","."
13,0,"PLAIN","China","China"
13,1,"PLAIN","Car","Car"
13,2,"PLAIN","Times","Times"
13,3,"PUNCT",".","."
14,0,"PUNCT","""",""""
14,1,"DATE","1987","nineteen eighty seven"
14,2,"LETTERS","ALCS","a l c s"
14,3,"PLAIN","Game","Game"
14,4,"CARDINAL","2","two"
14,5,"VERBATIM","-","-"
14,6,"PLAIN","Detroit","Detroit"
14,7,"PLAIN","Tigers","Tigers"
14,8,"PLAIN","vs","versus"
15,0,"PLAIN","This","This"
15,1,"PLAIN","species","species"
15,2,"PLAIN","is","is"
15,3,"PLAIN","endemic","endemic"
15,4,"PLAIN","to","to"
15,5,"PLAIN","Palau","Palau"
15,6,"PUNCT",".","."
16,0,"PLAIN","However","However"
16,1,"PUNCT",",",","
16,2,"PLAIN","Kaede's","Kaede's"
16,3,"PLAIN","oiled","oiled"
16,4,"PLAIN","hair","hair"
16,5,"PLAIN","accidentally","accidentally"
16,6,"PLAIN","catches","catches"
16,7,"PLAIN","fire","fire"
16,8,"PUNCT",".","."
17,0,"PLAIN","As","As"
17,1,"PLAIN","it","it"
17,2,"PLAIN","starts","starts"
17,3,"PLAIN","to","to"
17,4,"PLAIN","snow","snow"
17,5,"PUNCT",",",","
17,6,"PLAIN","Takeo","Takeo"
17,7,"PLAIN","prays","prays"
17,8,"PLAIN","the","the"
17,9,"PLAIN","spring","spring"
17,10,"PLAIN","would","would"
17,11,"PLAIN","bring","bring"
17,12,"PLAIN","healing","healing"
17,13,"PLAIN","to","to"
17,14,"PLAIN","his","his"
17,15,"PLAIN","land","land"
17,16,"PUNCT",".","."
18,0,"PLAIN","Francois","Francois"
18,1,"PUNCT",",",","
18,2,"LETTERS","C.","c"
18,3,"PUNCT",",",","
18,4,"PLAIN","Yelnik","Yelnik"
18,5,"PUNCT",",",","
18,6,"LETTERS","J.","j"
18,7,"PUNCT",",",","
18,8,"PLAIN","Percheron","Percheron"
18,9,"PUNCT",",",","
18,10,"LETTERS","G.","g"
18,11,"PUNCT","(","("
18,12,"DATE","1996","nineteen ninety six"
18,13,"PUNCT",")",")"
18,14,"PLAIN","A","A"
18,15,"PLAIN","stereotactic","stereotactic"
18,16,"PLAIN","atlas","atlas"
18,17,"PLAIN","of","of"
18,18,"PLAIN","the","the"
18,19,"PLAIN","basal","basal"
18,20,"PLAIN","ganglia","ganglia"
18,21,"PLAIN","in","in"
18,22,"PLAIN","Macaques","Macaques"
18,23,"PUNCT",".","."
19,0,"PUNCT","""",""""
19,1,"LETTERS","U.S.","u s"
19,2,"PLAIN","Decennial","Decennial"
19,3,"PLAIN","Census","Census"
19,4,"PUNCT","""",""""
19,5,"PUNCT",".","."
20,0,"PLAIN","They","They"
20,1,"PLAIN","are","are"
20,2,"PLAIN","responsible","responsible"
20,3,"PLAIN","for","for"
20,4,"PLAIN","student","student"
20,5,"PLAIN","union","union"
20,6,"PLAIN","activity","activity"
20,7,"PLAIN","on","on"
20,8,"PLAIN","each","each"
20,9,"PLAIN","campus","campus"
20,10,"PUNCT",".","."
21,0,"PLAIN","It","It"
21,1,"PLAIN","was","was"
21,2,"PLAIN","named","named"
21,3,"PLAIN","after","after"
21,4,"PLAIN","the","the"
21,5,"PLAIN","glass","glass"
21,6,"PLAIN","factory","factory"
21,7,"PLAIN","that","that"
21,8,"PLAIN","once","once"
21,9,"PLAIN","was","was"
21,10,"PLAIN","located","located"
21,11,"PLAIN","in","in"
21,12,"PLAIN","the","the"
21,13,"PLAIN","town","town"
21,14,"PUNCT",".","."
22,0,"PLAIN","Retrieved","Retrieved"
22,1,"DATE","22 September 2015","the twenty second of september twenty fifteen"
22,2,"PUNCT",".","."
23,0,"PUNCT","""",""""
23,1,"PLAIN","Lalah","Lalah"
23,2,"PLAIN","Hathaway","Hathaway"
23,3,"PLAIN","Stretches","Stretches"
23,4,"PLAIN","Her","Her"
23,5,"PLAIN","Musical","Musical"
23,6,"PLAIN","Canvas","Canvas"
23,7,"PLAIN","With","With"
23,8,"PLAIN","Her","Her"
23,9,"PLAIN","Stax","Stax"
23,10,"PLAIN","Records","Records"
23,11,"PLAIN","Debut","Debut"
23,12,"PUNCT","""",""""
23,13,"PLAIN","Self","Self"
23,14,"PLAIN","Portrait","Portrait"
23,15,"PUNCT","""",""""
23,16,"PUNCT","""",""""
